datetime,Temp,Humidity,Precip,Weather,date,RainTomorrowMorning
2025-07-27 00:00:00,23.1,91,0.0,Overcast,2025-07-27,0
2025-07-27 01:00:00,23.0,92,0.0,Overcast,2025-07-27,0
2025-07-27 02:00:00,22.9,93,0.0,Cloudy,2025-07-27,0
2025-07-27 03:00:00,22.9,92,0.0,Cloudy,2025-07-27,0
2025-07-27 04:00:00,23.0,92,0.0,Cloudy,2025-07-27,0
2025-07-27 05:00:00,23.2,91,0.0,Partly cloudy,2025-07-27,0
2025-07-27 06:00:00,23.5,86,0.0,Partly cloudy,2025-07-27,0
2025-07-27 07:00:00,23.7,84,0.0,Partly cloudy,2025-07-27,0
2025-07-27 08:00:00,25.4,81,0.0,Sunny,2025-07-27,0
2025-07-27 09:00:00,27.0,74,0.0,Sunny,2025-07-27,0
2025-07-27 10:00:00,28.5,70,0.0,Sunny,2025-07-27,0
2025-07-27 11:00:00,30.1,67,0.0,Sunny,2025-07-27,0
2025-07-27 12:00:00,31.3,59,0.0,Sunny,2025-07-27,0
2025-07-27 13:00:00,32.2,56,0.0,Sunny,2025-07-27,0
2025-07-27 14:00:00,32.9,52,0.0,Sunny,2025-07-27,0
2025-07-27 15:00:00,33.4,49,0.0,Sunny,2025-07-27,0
2025-07-27 16:00:00,33.8,47,0.0,Sunny,2025-07-27,0
2025-07-27 17:00:00,33.1,45,0.0,Sunny,2025-07-27,0
2025-07-27 18:00:00,32.3,47,0.0,Sunny,2025-07-27,0
2025-07-27 19:00:00,31.4,48,0.0,Sunny,2025-07-27,0
2025-07-27 20:00:00,30.2,48,0.0,Sunny,2025-07-27,0
2025-07-27 21:00:00,29.1,57,0.0,Clear,2025-07-27,0
2025-07-27 22:00:00,26.4,61,0.0,Clear,2025-07-27,0
2025-07-27 23:00:00,26.0,89,0.0,Overcast,2025-07-27,0
2025-07-28 00:00:00,24.2,86,0.0,Clear,2025-07-28,0
2025-07-28 01:00:00,23.4,89,0.0,Clear,2025-07-28,0
2025-07-28 02:00:00,22.3,91,0.0,Clear,2025-07-28,0
2025-07-28 03:00:00,21.4,94,0.0,Cloudy,2025-07-28,0
2025-07-28 04:00:00,20.7,95,0.0,Cloudy,2025-07-28,0
2025-07-28 05:00:00,20.3,96,0.0,Mist,2025-07-28,0
2025-07-28 06:00:00,20.1,96,0.0,Mist,2025-07-28,0
2025-07-28 07:00:00,20.1,96,0.0,Mist,2025-07-28,0
